"","TRS2.5.sos","TRS2.5.eos","TRS5.sos","TRS5.eos","DER.sos","DER.pos","DER.eos","UD","SD","DD","RD","Greenup","Maturity","Senescence","Dormancy","sitename","year"
"1",143,292,165,269,174,217,261,129,202,234,306,123,217,NA,311,"TLG","1982"
"2",135,290,160,268,170,216,260,120,200,233,304,114,216,309,NA,"TLG","1983"
"3",135,309,160,283,168,221,275,118,202,242,326,110,221,NA,332,"TLG","1984"
"4",131,299,155,275,162,214,266,113,195,235,316,106,214,NA,322,"TLG","1985"
"5",127,289,150,264,158,206,255,109,189,225,304,103,206,310,NA,"TLG","1986"
"6",120,278,141,253,147,194,243,104,176,213,293,98,194,299,NA,"TLG","1987"
"7",140,287,155,261,157,198,254,129,180,219,304,125,191,221,312,"TLG","1988"
"8",134,308,158,284,164,221,277,116,198,244,326,109,221,NA,332,"TLG","1989"
"9",127,294,151,271,157,211,266,112,190,234,311,105,211,NA,318,"TLG","1990"
"10",117,301,144,274,154,209,265,100,189,231,318,93,209,NA,326,"TLG","1991"
"11",141,291,163,268,171,215,260,126,199,233,305,120,215,NA,311,"TLG","1992"
"12",115,297,139,269,147,203,261,97,181,226,314,90,203,NA,321,"TLG","1993"
"13",127,300,151,274,158,212,266,108,191,234,316,101,212,NA,323,"TLG","1994"
"14",137,297,161,273,168,217,265,121,199,236,312,115,217,NA,318,"TLG","1995"
"15",120,304,145,278,152,211,270,100,188,235,322,93,211,NA,329,"TLG","1996"
"16",122,288,144,266,149,204,259,105,183,228,304,98,201,208,311,"TLG","1997"
"17",102,301,129,274,135,201,268,82,175,230,321,74,193,209,329,"TLG","1998"
"18",125,286,148,264,153,206,259,110,185,229,302,103,203,209,309,"TLG","1999"
"19",118,323,136,291,139,194,296,104,168,238,350,96,183,246,368,"TLG","2000"
"20",116,315,131,287,132,186,289,104,157,244,338,100,165,237,346,"TLG","2001"
"21",118,308,130,279,132,178,281,108,153,232,334,104,161,226,343,"TLG","2002"
"22",101,321,123,295,121,204,293,73,164,251,342,NA,175,240,350,"TLG","2003"
"23",103,318,128,296,129,217,295,78,174,260,334,70,184,251,340,"TLG","2004"
"24",120,324,130,296,131,179,296,112,149,250,349,108,154,235,357,"TLG","2005"
"25",135,313,139,301,139,162,302,132,147,281,325,126,153,277,328,"TLG","2006"
"26",126,324,132,296,132,160,298,122,141,253,349,118,146,240,356,"TLG","2007"
"27",127,301,137,278,138,182,279,120,155,240,324,116,160,229,330,"TLG","2008"
"28",111,296,131,269,135,192,263,96,166,223,317,90,179,216,325,"TLG","2009"
