"","Site","lat","lon","date","Year","month","NDVI"
"1","TLG",36.69,102.73,1981-07-08,1981,7,0.4768
"2","TLG",36.69,102.73,1981-07-21,1981,7,0.6198
"3","TLG",36.69,102.73,1981-08-08,1981,8,0.7698
"4","TLG",36.69,102.73,1981-08-21,1981,8,0.422
"5","TLG",36.69,102.73,1981-09-08,1981,9,0.3058
"6","TLG",36.69,102.73,1981-09-21,1981,9,0.6908
"7","TLG",36.69,102.73,1981-10-08,1981,10,0.4358
"8","TLG",36.69,102.73,1981-10-21,1981,10,0.4028
"9","TLG",36.69,102.73,1981-11-08,1981,11,0.2868
"10","TLG",36.69,102.73,1981-11-21,1981,11,0.3338
"11","TLG",36.69,102.73,1981-12-08,1981,12,0.0988
"12","TLG",36.69,102.73,1981-12-21,1981,12,0.3488
"13","TLG",36.69,102.73,1982-01-08,1982,1,0.3658
"14","TLG",36.69,102.73,1982-01-21,1982,1,0.3008
"15","TLG",36.69,102.73,1982-02-08,1982,2,0.2628
"16","TLG",36.69,102.73,1982-02-21,1982,2,0.3388
"17","TLG",36.69,102.73,1982-03-08,1982,3,0.3308
"18","TLG",36.69,102.73,1982-03-21,1982,3,0.3428
"19","TLG",36.69,102.73,1982-04-08,1982,4,0.3388
"20","TLG",36.69,102.73,1982-04-21,1982,4,0.3158
"21","TLG",36.69,102.73,1982-05-08,1982,5,0.348
"22","TLG",36.69,102.73,1982-05-21,1982,5,0.2808
"23","TLG",36.69,102.73,1982-06-08,1982,6,0.5968
"24","TLG",36.69,102.73,1982-06-21,1982,6,0.5488
"25","TLG",36.69,102.73,1982-07-08,1982,7,0.5268
"26","TLG",36.69,102.73,1982-07-21,1982,7,0.7538
"27","TLG",36.69,102.73,1982-08-08,1982,8,0.6748
"28","TLG",36.69,102.73,1982-08-21,1982,8,0.7108
"29","TLG",36.69,102.73,1982-09-08,1982,9,0.2218
"30","TLG",36.69,102.73,1982-09-21,1982,9,0.5318
"31","TLG",36.69,102.73,1982-10-08,1982,10,0.4538
"32","TLG",36.69,102.73,1982-10-21,1982,10,0.4618
"33","TLG",36.69,102.73,1982-11-08,1982,11,0.3518
"34","TLG",36.69,102.73,1982-11-21,1982,11,0.3458
"35","TLG",36.69,102.73,1982-12-08,1982,12,0.1968
"36","TLG",36.69,102.73,1982-12-21,1982,12,0.2648
"37","TLG",36.69,102.73,1983-01-08,1983,1,0.2068
"38","TLG",36.69,102.73,1983-01-21,1983,1,0.2558
"39","TLG",36.69,102.73,1983-02-08,1983,2,0.2758
"40","TLG",36.69,102.73,1983-02-21,1983,2,0.2858
"41","TLG",36.69,102.73,1983-03-08,1983,3,0.3368
"42","TLG",36.69,102.73,1983-03-21,1983,3,0.2568
"43","TLG",36.69,102.73,1983-04-08,1983,4,0.3418
"44","TLG",36.69,102.73,1983-04-21,1983,4,0.3178
"45","TLG",36.69,102.73,1983-05-08,1983,5,0.358
"46","TLG",36.69,102.73,1983-05-21,1983,5,0.5028
"47","TLG",36.69,102.73,1983-06-08,1983,6,0.6128
