"","sitename","Year","Cycle","Dormancy","Greenup","Maturity","MidGreendown","MidGreenup","Peak","Senescence"
"1","TLG",2001," Cycle 1",302,111,179,270,140,206,234
"2","TLG",2002," Cycle 1",287,96,156,256,129,178,209
"3","TLG",2003," Cycle 1",296,100,160,265,133,179,210
"4","TLG",2004," Cycle 1",293,100,155,265,128,178,208
"5","TLG",2005," Cycle 1",297,103,163,264,134,184,208
"6","TLG",2006," Cycle 1",297,106,157,269,132,182,220
"7","TLG",2007," Cycle 1",292,101,162,259,131,186,211
"8","TLG",2008," Cycle 1",297,103,157,263,132,181,217
"9","TLG",2009," Cycle 1",292,92,159,257,130,177,201
"10","TLG",2010," Cycle 1",301,111,165,266,139,183,206
"11","TLG",2011," Cycle 1",301,101,167,267,136,190,214
"12","TLG",2012," Cycle 1",294,103,161,262,134,181,209
"13","TLG",2013," Cycle 1",296,101,161,260,129,185,215
"14","TLG",2014," Cycle 1",299,92,174,263,133,196,220
"15","TLG",2015," Cycle 1",296,90,163,262,130,188,217
"16","TLG",2016," Cycle 1",301,93,163,266,130,188,219
"17","TLG",2018," Cycle 1",301,82,160,267,123,190,220
"18","TLG",2019," Cycle 1",303,87,165,266,130,190,222
"19","CLS",2001," Cycle 1",300,124,221,279,161,243,258
"20","CLS",2002," Cycle 1",291,121,171,252,144,188,209
"21","CLS",2003," Cycle 1",298,107,168,275,132,201,231
"22","CLS",2004," Cycle 1",297,110,203,280,147,231,256
"23","CLS",2005," Cycle 1",299,106,157,275,130,186,218
"24","CLS",2006," Cycle 1",298,118,188,271,139,212,233
"25","CLS",2007," Cycle 1",302,126,196,277,163,220,244
"26","CLS",2008," Cycle 1",299,110,151,270,130,164,182
"27","CLS",2009," Cycle 1",303,109,167,282,133,186,210
"28","CLS",2010," Cycle 1",289,123,163,243,141,182,202
"29","CLS",2011," Cycle 1",308,122,183,285,145,210,231
"30","CLS",2012," Cycle 1",296,112,181,270,135,206,231
"31","CLS",2013," Cycle 1",289,126,195,264,161,216,237
"32","CLS",2014," Cycle 1",292,130,182,264,151,203,229
"33","CLS",2015," Cycle 1",294,108,155,242,133,170,191
"34","CLS",2016," Cycle 1",306,110,194,283,138,225,253
"35","CLS",2018," Cycle 1",305,114,217,283,165,237,257
"36","CLS",2019," Cycle 1",297,103,172,267,134,193,216
"37","HSS",2001," Cycle 1",290,136,197,272,156,221,244
"38","HSS",2002," Cycle 1",288,133,178,258,154,194,214
"39","HSS",2003," Cycle 1",290,129,188,268,151,209,234
"40","HSS",2004," Cycle 1",284,124,184,266,147,211,239
"41","HSS",2005," Cycle 1",292,123,185,272,138,218,235
"42","HSS",2006," Cycle 1",281,130,169,256,146,193,223
"43","HSS",2007," Cycle 1",294,136,197,274,162,222,246
"44","HSS",2008," Cycle 1",296,121,161,273,139,182,210
"45","HSS",2009," Cycle 1",292,120,172,272,138,199,230
"46","HSS",2010," Cycle 1",287,134,172,253,149,189,210
"47","HSS",2011," Cycle 1",293,129,175,270,149,198,231
"48","HSS",2012," Cycle 1",293,125,188,271,145,212,237
"49","HSS",2013," Cycle 1",286,124,185,262,150,208,233
"50","HSS",2014," Cycle 1",291,135,177,262,155,195,221
"51","HSS",2015," Cycle 1",284,118,157,246,137,172,193
"52","HSS",2016," Cycle 1",300,123,181,276,145,210,237
"53","HSS",2018," Cycle 1",296,117,189,274,141,215,241
"54","HSS",2019," Cycle 1",293,113,168,267,139,188,216
"55","BS",2001," Cycle 1",293,109,170,275,132,208,236
"56","BS",2002," Cycle 1",279,122,165,235,141,181,200
"57","BS",2003," Cycle 1",287,119,170,264,139,197,228
"58","BS",2004," Cycle 1",283,116,169,261,137,200,229
"59","BS",2005," Cycle 1",281,114,151,252,133,172,207
"60","BS",2006," Cycle 1",280,123,170,259,142,199,233
"61","BS",2007," Cycle 1",279,125,180,253,146,201,221
"62","BS",2008," Cycle 1",293,110,168,271,129,203,242
"63","BS",2009," Cycle 1",282,113,163,259,131,194,217
"64","BS",2010," Cycle 1",288,137,168,256,149,185,206
"65","BS",2011," Cycle 1",288,121,186,268,151,209,237
"66","BS",2012," Cycle 1",285,121,169,261,139,198,224
"67","BS",2013," Cycle 1",281,122,179,259,149,199,225
"68","BS",2014," Cycle 1",283,125,176,260,146,202,229
"69","BS",2015," Cycle 1",291,91,173,243,128,188,214
"70","BS",2016," Cycle 1",297,114,173,276,139,206,234
"71","BS",2018," Cycle 1",294,87,182,273,124,215,240
"72","BS",2019," Cycle 1",290,109,168,258,136,186,206
"73","TTH",2001," Cycle 1",298,118,159,271,138,180,221
"74","TTH",2002," Cycle 1",305,105,147,276,125,168,207
"75","TTH",2003," Cycle 1",303,108,148,276,127,165,201
"76","TTH",2004," Cycle 1",304,104,151,278,122,184,228
"77","TTH",2005," Cycle 1",303,102,141,274,120,162,212
"78","TTH",2006," Cycle 1",298,109,148,263,127,183,218
"79","TTH",2007," Cycle 1",298,105,143,274,123,167,211
"80","TTH",2008," Cycle 1",305,106,151,279,127,179,218
"81","TTH",2009," Cycle 1",305,104,145,277,124,165,210
"82","TTH",2010," Cycle 1",306,116,156,275,133,177,205
"83","TTH",2011," Cycle 1",301,109,147,276,127,175,233
"84","TTH",2012," Cycle 1",301,107,149,274,126,180,223
"85","TTH",2013," Cycle 1",305,99,144,276,118,177,224
"86","TTH",2014," Cycle 1",306,104,151,279,127,176,213
"87","TTH",2015," Cycle 1",304,104,147,276,123,171,216
"88","TTH",2016," Cycle 1",309,104,148,280,125,169,208
"89","TTH",2018," Cycle 1",300,100,150,270,122,179,216
"90","TTH",2019," Cycle 1",305,95,138,276,114,179,226
"91","ZWL",2001," Cycle 1",298,110,150,272,127,181,230
"92","ZWL",2002," Cycle 1",298,98,146,273,119,185,222
"93","ZWL",2003," Cycle 1",302,103,140,276,120,160,209
"94","ZWL",2004," Cycle 1",299,98,138,274,114,168,211
"95","ZWL",2005," Cycle 1",302,101,138,276,117,170,217
"96","ZWL",2006," Cycle 1",297,109,148,267,127,173,217
"97","ZWL",2007," Cycle 1",300,102,142,273,119,165,212
"98","ZWL",2008," Cycle 1",302,102,142,275,120,181,223
"99","ZWL",2009," Cycle 1",301,96,140,270,114,180,224
"100","ZWL",2010," Cycle 1",304,111,148,274,128,169,207
"101","ZWL",2011," Cycle 1",296,108,143,264,123,173,215
"102","ZWL",2012," Cycle 1",296,103,141,268,120,166,211
"103","ZWL",2013," Cycle 1",302,97,142,262,118,168,207
"104","ZWL",2014," Cycle 1",300,97,143,273,118,179,224
