"","UD","prrD","SD","pop","DD","psrD","RD","trs_sos25","trs_sos50","trs_sos75","trs_eos90","trs_eos75","trs_eos50","trs_eos25","maxline","baseline","ampl_sos","ampl_eos","prr","psr","Gslope","Dslope","year","sitename"
"TLG",96,134,173,194,237,275,313,115,134,169,227,254,275,294,0.351160600829895,0.114765019017935,0.23639558181196,0.231237830452976,0.00308688906254771,-0.00299153125805878,0.00225481868098627,-0.00165638505322272,2000,"TLG"
"TLG1",101,136,172,208,228,270,312,117,136,154,231,250,270,296,0.348902548289886,0.114728504297105,0.230358998873956,0.234174043992781,0.00328173406360714,-0.0027617244847556,0.00191555816876971,-0.00224248197061624,2001,"TLG"
"TLG2",95,126,158,175,216,260,304,110,126,142,207,237,260,285,0.362141782640081,0.105893315987277,0.248720361291851,0.256248466652804,0.00401235772645089,-0.0028829088877571,0.00326171861253224,-0.00164800805247824,2002,"TLG"
"TLG3",93,130,167,173,225,269,313,107,130,148,207,237,269,292,0.367592011067352,0.107286670444879,0.257554977897169,0.260305340622473,0.00353596213204971,-0.00291615862330465,0.00346263759870848,-0.00139450058488946,2003,"TLG"
"TLG4",87,124,161,170,229,270,311,103,124,141,206,242,270,289,0.344688697739248,0.108678880137895,0.236009817601353,0.232098264881064,0.00326860935186374,-0.0028036818031454,0.00308992217391145,-0.00125052075613962,2004,"TLG"
"TLG5",98,132,165,187,220,270,321,112,132,148,209,229,270,293,0.358858694014495,0.104133120471529,0.243640065272007,0.254725573542966,0.00368447336064946,-0.0025064803685386,0.00283339445504856,-0.00168046769333133,2005,"TLG"
"TLG6",99,129,160,173,229,273,316,112,129,144,204,248,273,294,0.347933383378679,0.106780471874057,0.241152911504622,0.232017243083509,0.00404471730392635,-0.00265071900111149,0.00344883924055649,-0.0012560536762476,2006,"TLG"
"TLG7",96,130,164,185,216,267,318,109,130,145,207,230,267,287,0.376594648840624,0.109648845522958,0.259458711733734,0.266945803317666,0.00392470861175638,-0.00259563080639314,0.00288382599335674,-0.00175120977274609,2007,"TLG"
"TLG8",83,124,164,170,225,268,311,91,124,140,222,242,268,289,0.364724307053826,0.0785857618927433,0.286138545161083,0.240441705773771,0.00358265315141274,-0.00273448862852501,0.00351470495405708,-0.0015971473703397,2008,"TLG"
"TLG9",100,126,152,174,203,257,312,111,126,137,195,221,257,285,0.422387900034201,0.12249487981495,0.297836418127304,0.29989302021925,0.00581360011957082,-0.00274373944633799,0.00387904533201757,-0.00181488326038587,2009,"TLG"
"TLG10",106,138,171,185,202,265,328,120,138,154,203,219,265,292,0.413658331557724,0.123553608987366,0.290104722570358,0.285466581791346,0.00449186106888027,-0.00224260923807508,0.00399097287603901,-0.00186994167630115,2010,"TLG"
"TLG11",103,136,168,195,220,270,319,120,136,153,214,242,270,298,0.37466492973534,0.110829202868624,0.237983359633761,0.263835726866717,0.00370273603902097,-0.00265175902577356,0.00265720476324744,-0.00192173148708502,2011,"TLG"
"TLG12",99,132,164,180,216,264,311,108,132,147,206,231,264,284,0.401862189169677,0.106392232713496,0.295469956456181,0.267972652467724,0.00463408825000792,-0.0027943280217874,0.00387371967463064,-0.00176746834028638,2012,"TLG"
"TLG13",92,126,160,182,218,264,309,110,126,144,218,237,264,287,0.387588970321951,0.128594216924893,0.258994753397059,0.255900443126322,0.00388851588588034,-0.00279054940112446,0.00307541068800666,-0.00199632294448752,2013,"TLG"
"TLG14",90,131,172,200,221,267,314,97,131,149,221,242,267,292,0.376608385551305,0.120836416671021,0.247758646931505,0.255771968880284,0.00305214170608736,-0.00271142294401339,0.00194298110092039,-0.00216762035183201,2014,"TLG"
"TLG15",86,127,169,182,220,266,311,104,127,146,216,236,266,288,0.369513546539505,0.124539085455788,0.244974461083717,0.243173202057155,0.00299418906248194,-0.00263703058294495,0.00285304907091094,-0.00180843696031401,2015,"TLG"
"TLG16",85,128,170,184,217,269,322,100,128,147,219,237,269,295,0.359246395173188,0.123502601578347,0.234035658038946,0.235743793594841,0.00278273052971974,-0.00223822398665967,0.00255134215942251,-0.00167811031971608,2016,"TLG"
"TLG17",85,132,178,186,217,268,318,101,132,155,216,240,268,291,0.396137727866483,0.1241062387646,0.272031489101883,0.264864445595252,0.00296610686372994,-0.00260751945448106,0.00285152043786638,-0.00195876455166932,2017,"TLG"
"TLG18",86,121,157,197,226,270,313,103,121,140,216,248,270,293,0.358570060929279,0.131918912745563,0.2223432475657,0.226651148183716,0.00317918647776245,-0.00257657743766277,0.00175945761567723,-0.00175105736030951,2018,"TLG"
"TLG19",86,128,170,180,220,267,314,103,128,149,220,239,267,292,0.400717814014134,0.133021777962526,0.267696036051608,0.261050298485868,0.00321978436692694,-0.00274206519893106,0.00307496662266419,-0.00192243316977256,2019,"TLG"
"TLG20",93,131,169,187,217,267,317,103,131,148,218,241,267,297,0.377908541158178,0.135843750097511,0.238750418508827,0.242064791060666,0.00318625963475226,-0.00239895978686311,0.00272058669164006,-0.00175005622856459,2020,"TLG"
"TLG21",87,126,165,187,214,265,316,103,126,144,212,232,265,291,0.417078203268592,0.134050920516601,0.28302728275199,0.278366649431799,0.00367742516673094,-0.00269887941351251,0.00290122931814542,-0.00203142144992779,2021,"TLG"
"CLS",106,141,176,185,267,295,322,127,141,162,199,227,295,308,0.243821789975838,0.0738988465330053,0.148109693803896,0.169922943442833,0.00212716465279504,-0.00301245372167185,0.00192630522818581,-0.000728099932472794,2000,"CLS"
"CLS1",101,134,166,250,251,289,327,118,134,156,265,274,289,313,0.223441640513061,0.0668781408167143,0.149110463688648,0.156563499696347,0.00231274761131008,-0.00203698224462362,0.000662691333259993,-0.00214025047559488,2001,"CLS"
"CLS2",80,129,178,188,198,272,346,53,129,154,210,232,272,305,0.375069005562793,0.00128030761790638,0.373788697944886,0.331195631849663,0.00382873393536675,-0.00222317938577425,0.00372460693428552,-0.00217183649534445,2002,"CLS"
